"scenario","min","q.025","q.50","q.975","max"
1,"6","64","79","92","100"
2,"6","68","78","92","92"
3,"6","69","78","90","92"
4,"6","68","79","91","96"
5,"6","66","78","89","95"
6,"6","66","79","91","98"
7,"6","68","78","92","102"
8,"6","68","78","94","105"
9,"6","71","79","93","113"
10,"6","68","80","92","97"
11,"6","68","79","97","100"
12,"6","66","75","92","103"
