"scenario","min","q.025","q.50","q.975","max"
1,"0.0","1.6","2.0","2.5","2.6"
2,"0.0","1.2","1.6","2.0","2.2"
3,"0.0","1.0","1.4","1.7","1.8"
4,"0.0","0.9","1.2","1.6","1.6"
5,"0.0","0.9","1.2","1.4","1.4"
6,"0.0","0.8","1.2","1.3","1.6"
7,"0.0","0.9","1.2","1.4","1.5"
8,"0.0","0.8","1.1","1.4","1.5"
9,"0.0","0.8","1.1","1.4","1.6"
10,"0.0","0.8","1.1","1.3","1.5"
11,"0.0","0.9","1.1","1.3","1.4"
12,"0.0","2.2","3.2","3.8","3.9"
