"scenario","min","q.025","q.50","q.975","max"
1,"4.0","4.1","4.2","4.4","14.0"
2,"4.2","4.3","4.4","4.5","14.0"
3,"4.4","4.4","4.5","4.7","14.0"
4,"4.5","4.5","4.6","4.8","14.0"
5,"4.6","4.6","4.8","4.9","14.0"
6,"4.7","4.7","4.8","5.0","14.0"
7,"4.7","4.8","4.9","5.2","14.0"
8,"4.8","4.9","5.0","5.3","14.0"
9,"4.9","4.9","5.1","5.3","14.0"
10,"5.0","5.0","5.2","5.5","14.0"
11,"4.9","5.0","5.2","5.6","14.0"
12,"0.0","0.6","0.7","0.8","4.0"
