"scenario","min","q.025","q.50","q.975","max"
1,"0","0","4020","4166","4200"
2,"0","0","5241","5458","5489"
3,"0","0","6187","6428","6473"
4,"0","0","6780","7007","7032"
5,"0","0","7079","7402","7574"
6,"0","0","7259","7545","7638"
7,"0","0","7448","7700","7797"
8,"0","0","7450","7786","8079"
9,"0","0","7473","7860","7952"
10,"0","0","7468","7880","7964"
11,"0","0","7404","7886","8030"
12,"0","0","2604","2741","2787"
