"scenario","min","q.025","q.50","q.975","max"
1,"1","221","260","296","299"
2,"1","229","262","296","315"
3,"1","213","263","294","302"
4,"1","213","260","297","312"
5,"1","196","265","289","293"
6,"1","215","263","300","323"
7,"1","206","262","304","312"
8,"1","222","260","299","315"
9,"1","211","259","297","306"
10,"1","205","259","291","299"
11,"1","207","260","309","310"
12,"1","216","267","296","311"
