"scenario","min","q.025","q.50","q.975","max"
1,"0","0","16920","17458","17698"
2,"0","0","22901","23713","23970"
3,"0","0","27978","29280","30059"
4,"0","0","31593","32600","32727"
5,"0","0","33539","35419","36595"
6,"0","0","35174","36878","37199"
7,"0","0","36515","38313","39699"
8,"0","0","37316","39635","40288"
9,"0","0","37765","41005","41474"
10,"0","0","38367","41323","41745"
11,"0","0","38461","42101","42335"
12,"0","0","1855","2038","2098"
