"scenario","min","q.025","q.50","q.975","max"
1,"26","28","36","45","50"
2,"25","25","36","50","52"
3,"23","26","38","49","57"
4,"25","26","37","46","50"
5,"22","24","37","48","49"
6,"24","26","37","50","53"
7,"25","25","36","48","50"
8,"24","26","36","48","50"
9,"23","25","36","45","50"
10,"24","27","37","46","50"
11,"24","26","37","45","47"
12,"24","26","37","49","55"
