"scenario","min","q.025","q.50","q.975","max"
1,"0","0","82","99","104"
2,"0","0","82","105","116"
3,"0","0","84","103","108"
4,"0","0","80","107","111"
5,"0","0","84","100","101"
6,"0","0","83","98","114"
7,"0","0","85","101","113"
8,"0","0","82","104","111"
9,"0","0","84","106","111"
10,"0","0","84","98","112"
11,"0","0","85","95","108"
12,"0","0","83","102","105"
